,genes,x_coord,y_coord,x_coord_plot,y_coord_plot,cluster_id
7556,IYD,12.810168,8.721724,12.182274,9.299405,257
7557,IZUMO1,9.753213,10.030438,8.863907,7.7314363,755
7558,IZUMO1R,5.250368,5.404863,3.6619482,-1.4002225,745
7559,IZUMO2,-1.902011,-4.450636,-2.5787191,-4.331572,129
7560,IZUMO3,8.463436,3.3201323,1.7859075,9.844355,975
7561,IZUMO4,4.557944,11.555523,-4.734683,13.262243,938
7562,JADE1,-6.432747,4.8381066,-7.7451897,3.8982263,44
7563,JADE2,1.5391493,6.07913,-1.7336453,10.663643,159
7564,JADE3,6.750707,13.93261,4.95083,13.720086,65
7565,JAG1,9.527798,11.343266,11.317188,11.540151,319
7566,JAG2,-0.104359806,2.6227973,0.5129781,8.970362,1374
7567,JAGN1,2.7622154,16.9311,2.0360615,16.577621,85
7568,JAK1,4.629715,8.392086,0.5767143,1.6247778,1265
7569,JAK2,3.5279765,10.952437,6.2193685,9.4113655,1332
7570,JAK3,3.7884622,8.007638,4.6657147,8.542136,184
7571,JAKMIP1,1.6899774,13.517001,0.033208735,14.34513,96
7572,JAKMIP2,10.848966,15.493969,10.704628,15.025997,64
7573,JAKMIP3,7.8767223,0.86114573,4.2065077,11.419012,1375
7574,JAM2,0.0033441035,15.67731,-0.78502,15.525055,724
7575,JAM3,1.0654727,9.624204,3.6497202,11.940198,154
7576,JAML,0.6342462,7.3959575,3.491317,3.7609909,292
7577,JARID2,14.01282,3.18608,13.312086,3.1738372,303
7578,JAZF1,-5.168919,-2.4395905,-2.21207,-1.0292419,449
7579,JCAD,-1.679808,-2.2980464,-3.4743123,-1.5277193,608
7580,JCHAIN,11.8665285,8.771718,17.238142,8.49003,460
7581,JDP2,0.18732283,12.889963,4.451187,9.961442,10
7582,JHY,0.731729,-1.8733175,-2.6194177,1.1783575,664
7583,JKAMP,12.407323,10.900654,14.535776,11.832724,699
7584,JMJD1C,-1.1393337,5.483246,0.23465912,3.329557,573
7585,JMJD4,-5.2473955,11.852809,-4.814271,11.55911,102
7586,JMJD6,4.1654844,8.530378,1.0912182,4.252426,1376
7587,JMJD7,2.7039218,7.028538,4.8065906,-1.2124995,465
7588,JMJD8,-5.1771235,-2.4320917,-2.2327087,-1.0299445,449
7589,JMY,-1.6222885,3.5653484,-3.3323436,3.183647,468
7590,JOSD1,0.06345968,-3.0056884,1.6433828,-1.099258,306
7591,JOSD2,-0.60986835,5.770263,0.41918293,-1.4870385,99
7592,JPH1,-3.6196575,1.7468947,-3.5543602,1.6120453,269
7593,JPH2,11.167704,13.561371,10.035185,13.147669,180
7594,JPH3,1.2560914,11.157879,1.5880075,14.513252,584
7595,JPH4,-4.07756,-0.0015571073,-0.6739653,-1.2927481,542
7596,JPT1,-1.5502747,0.17778014,1.2943318,4.410974,18
7597,JPT2,-0.7807533,0.5271351,-1.5173309,6.99351,1141
7598,JRK,3.2832632,2.836182,5.0522714,1.6802216,861
7599,JRKL,12.002978,12.54403,12.6461,10.516035,672
7600,JSRP1,1.7706156,-0.15792288,1.6403154,-2.9907641,836
7601,JTB,8.548655,10.906454,9.377119,7.6054716,515
7602,JUN,6.9243493,12.010819,4.012881,9.706461,1253
7603,JUNB,6.8645535,3.720191,8.175788,0.80921096,899
7604,JUND,3.3442872,-4.0659823,7.077303,2.0129175,1377
7605,JUP,2.6078885,1.2232894,1.8281395,5.1031747,1299
7606,KALRN,5.913682,15.42436,4.6531787,16.40236,33
7607,KANK1,10.259606,11.72172,4.9937963,7.5383096,1131
7608,KANK2,7.7538733,-3.5823348,8.6042795,-5.109076,166
7609,KANK3,5.233467,12.77259,4.159791,13.5242,574
7610,KANK4,15.509873,5.346207,15.77028,4.8925986,412
7611,KANSL1,7.44428,-0.70940113,7.6985373,-0.25556043,734
7612,KANSL1L,10.880881,15.491142,10.636994,15.065716,64
7613,KANSL2,7.4445157,-0.70941716,7.693526,-0.2547886,734
7614,KANSL3,7.443827,-0.7093969,7.70018,-0.25353995,734
7615,KARS1,4.219394,7.714708,6.3991914,-1.6922535,1378
7616,KASH5,2.9968126,2.64633,8.518741,0.20219706,522
7617,KAT14,8.48986,5.049175,9.844861,4.663611,1016
7618,KAT2A,0.57503444,7.566306,3.421243,3.7698636,292
7619,KAT2B,5.8541727,13.416295,5.8706098,14.657194,100
7620,KAT5,3.7780929,13.712914,2.3809211,14.241282,330
7621,KAT6A,5.6133485,1.3932917,9.092637,1.8822687,589
7622,KAT6B,0.8060239,-4.5016727,3.3543866,-4.9235725,193
7623,KAT7,4.117309,12.320763,8.100592,7.3420143,1379
7624,KAT8,10.199899,6.063623,9.457066,6.478838,21
7625,KATNA1,3.4975693,-1.2645246,2.275065,-2.7557635,1203
7626,KATNAL1,7.117026,3.9817345,7.2877197,8.818546,1284
